거래일시,종목명,종목코드,거래구분,수량,가격,감정태그,메모,수익률,코스피지수,기술분석,뉴스분석,감정분석
2024-01-03,NAVER,035420,매도,216,280991,#추격매수,어제 NAVER 상한가 갔는데 오늘이라도 타야겠어서 추격매수,-0.86,2525.87,이동평균선 상향 돌파로 상승 모멘텀 확인,친환경 정책 강화로 관련 산업 수혜 예상,주변 성공 사례에 자극받아 따라 하는 심리
2024-01-06,LG에너지솔루션,373220,매수,59,217766,#확신,LG에너지솔루션 기술적 분석상 매수 타이밍으로 판단,8.14,2261.84,거래량 감소와 함께 상승 동력 약화,신기술 도입 지연으로 성장 둔화 우려,확실한 수익을 보장받을 수 있다는 착각
2024-01-08,삼성전자,005930,매도,130,177088,#추격매수,친구가 삼성전자로 돈 벌었다고 해서 따라 매수,-28.2,2370.22,쐐기형 패턴 완성으로 급등 후 조정 예상,해외 수주 확대로 수출 기업 수혜 기대,단기 수익에만 집중하는 근시안적 사고
2024-01-09,LG에너지솔루션,373220,매도,474,143723,#확신,"펀더멘털 분석 결과 LG에너지솔루션 저평가, 전략적 매수",17.31,2341.02,이동평균선 상향 돌파로 상승 모멘텀 확인,해외 수주 확대로 수출 기업 수혜 기대,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-01-09,삼성전자,005930,매수,216,430616,#욕심,쉬운 돈이다 싶어서 삼성전자 물량 늘림,3.92,2385.73,스토캐스틱 과매수에서 베어리시 다이버전스,친환경 정책 강화로 관련 산업 수혜 예상,체계적 분석을 통한 냉정한 투자 접근
2024-01-11,삼성전자,005930,매수,191,470892,#추격매수,모두가 삼성전자 산다고 해서 뒤늦게 합류,-26.18,2313.04,일목균형표 구름대 상단 저항 직면,신기술 도입 지연으로 성장 둔화 우려,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-01-11,현대차,005380,매수,130,145465,#불안,현대차 계속 가지고 있기 불안해서 일부 매도,5.93,2393.67,RSI 과매수 구간 진입으로 단기 조정 예상,대규모 투자 계획 발표로 미래 가치 기대,손실 회복을 위한 무모한 도박성 투자
2024-01-11,셀트리온,068270,매도,138,452814,#추격매수,모두가 셀트리온 산다고 해서 뒤늦게 합류,-17.03,2382.38,이동평균선 상향 돌파로 상승 모멘텀 확인,글로벌 트렌드 변화로 성장주 선호도 증가,확실한 수익을 보장받을 수 있다는 착각
2024-01-19,셀트리온,068270,매수,162,406649,#추격매수,모두가 셀트리온 산다고 해서 뒤늦게 합류,23.94,2300.97,피보나치 확장 161.8% 도달로 과열 구간,어닝 서프라이즈 발표로 시장 기대감 급상승,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-01-27,현대차,005380,매도,375,430917,#공포,"너무 무서워서 현대차 전량 매도, 더 떨어지기 전에",-16.82,2394.39,저항선 돌파 실패로 반락 가능성 증가,업계 재편 가속화로 구조 조정 압력 증가,체계적 분석을 통한 냉정한 투자 접근
